Vehicle_ID,Battery_Capacity_kWh,Charging_Time_hr,Range_km,Vehicle_Type,Charging_Station_Type,State_of_Charge
115.0,84.0,8.45,117.0,Car,,21.0
116.0,81.0,9.57,N/A,2-Wheeler,fast,46.0
117.0,,error,451.0,car,,39.0
118.0,83.0,5.81,214.0,2-Wheeler,,98.0
119.0,30.0,2.07,231.0,Car,,30.0
120.0,81.0,7.04,332.0,CAR,Slow,71.0
,56.0,1.85,214.0,,SLOW,33.0
122.0,55.0,9.04,190.0,Car,Slow,93.0
123.0,unknown,7.63,319.0,Car,SLOW,62.0
124.0,,5.55,394.0,2-Wheeler,,
125.0,unknown,7.11,430.0,,Moderate,17.0
126.0,59.0,5.69,347.0,,Moderate,65.0
,39.0,7.59,215.0,,,61.0
128.0,84.0,9.27,149.0,,Fast,12.0
129.0,97.0,8.69,504.0,,fast,19.0
130.0,34.0,9.17,378.0,,Fast,65.0
131.0,41.0,2.4,,Car,SLOW,
132.0,58.0,1.74,113.0,Bus,fast,84.0
133.0,75.0,8.58,112.0,,,88.0
134.0,63.0,8.29,373.0,CAR,,47.0
135.0,41.0,3.17,216.0,,Moderate,41.0
136.0,90.0,4.18,462.0,Bus,Moderate,13.0
137.0,53.0,6.51,122.0,,SLOW,54.0
138.0,66.0,2.74,240.0,Bus,Moderate,79.0
139.0,34.0,7.17,140.0,Car,Slow,75.0
140.0,97.0,error,557.0,3-Wheeler,Fast,24.0
141.0,39.0,2.89,498.0,2-Wheeler,SLOW,
142.0,91.0,5.08,541.0,2-Wheeler,Fast,34.0
143.0,98.0,2.76,164.0,CAR,Fast,33.0
144.0,87.0,error,411.0,CAR,Moderate,49.0
145.0,49.0,2.2,,CAR,,63.0
146.0,88.0,1.76,440.0,Car,Slow,53.0
147.0,92.0,8.74,585.0,CAR,Moderate,75.0
148.0,85.0,3.59,559.0,Car,,13.0
149.0,73.0,4.62,579.0,Bus,Moderate,75.0
150.0,54.0,5.27,450.0,2-Wheeler,,81.0
151.0,64.0,8.71,471.0,Bus,,80.0
152.0,38.0,5.11,,,fast,58.0
153.0,82.0,4.64,597.0,car,,
154.0,69.0,3.02,442.0,,fast,35.0
155.0,48.0,5.27,N/A,CAR,Slow,82.0
156.0,51.0,3.17,159.0,2-Wheeler,fast,90.0
157.0,40.0,1.53,575.0,CAR,Fast,78.0
158.0,73.0,3.59,179.0,Bus,Moderate,61.0
159.0,65.0,,485.0,Bus,,34.0
160.0,48.0,error,277.0,,Fast,79.0
,66.0,1.68,329.0,Car,fast,
162.0,54.0,6.49,191.0,,Slow,31.0
163.0,85.0,8.37,511.0,3-Wheeler,,
164.0,38.0,3.02,133.0,3-Wheeler,Slow,64.0
165.0,34.0,3.15,308.0,CAR,Moderate,
166.0,63.0,5.86,142.0,3-Wheeler,,58.0
167.0,45.0,8.85,225.0,3-Wheeler,fast,96.0
168.0,58.0,3.52,,2-Wheeler,fast,75.0
169.0,86.0,5.63,429.0,car,,98.0
170.0,77.0,5.33,270.0,3-Wheeler,fast,82.0
171.0,,,262.0,Bus,SLOW,67.0
172.0,50.0,3.7,457.0,Bus,,65.0
173.0,66.0,error,466.0,car,Slow,
174.0,61.0,5.24,267.0,2-Wheeler,SLOW,15.0
175.0,96.0,2.64,454.0,Car,,23.0
176.0,,2.22,510.0,,Slow,78.0
177.0,56.0,5.16,300.0,Bus,fast,92.0
178.0,86.0,,230.0,,SLOW,89.0
179.0,51.0,6.52,174.0,2-Wheeler,,22.0
180.0,39.0,4.74,202.0,3-Wheeler,Moderate,29.0
,98.0,8.49,193.0,,Slow,39.0
182.0,42.0,1.66,214.0,Bus,,48.0
183.0,,2.16,237.0,CAR,Moderate,95.0
184.0,25.0,error,107.0,,fast,46.0
185.0,28.0,2.5,359.0,Bus,SLOW,70.0
186.0,95.0,1.11,477.0,2-Wheeler,SLOW,81.0
187.0,24.0,3.95,134.0,2-Wheeler,Slow,14.0
188.0,25.0,2.63,431.0,Car,fast,49.0
189.0,67.0,9.82,103.0,Bus,,70.0
190.0,99.0,8.21,265.0,Bus,Slow,81.0
191.0,97.0,9.26,495.0,Bus,,
192.0,,2.8,N/A,Bus,Slow,12.0
193.0,64.0,5.46,485.0,Car,Moderate,25.0
194.0,75.0,1.5,,Bus,,81.0
,53.0,6.02,334.0,3-Wheeler,Slow,89.0
196.0,76.0,7.21,108.0,,SLOW,
197.0,50.0,1.28,137.0,Bus,,60.0
198.0,20.0,6.8,526.0,3-Wheeler,Moderate,52.0
,58.0,4.67,364.0,CAR,Slow,68.0
200.0,24.0,4.01,570.0,Bus,Fast,44.0
,69.0,2.92,340.0,Bus,Slow,20.0
202.0,unknown,4.84,166.0,Bus,fast,40.0
203.0,97.0,6.58,581.0,Bus,SLOW,94.0
204.0,,,482.0,2-Wheeler,SLOW,27.0
205.0,69.0,7.99,327.0,,Slow,64.0
206.0,unknown,4.43,,,Slow,67.0
,20.0,2.87,456.0,2-Wheeler,fast,62.0
208.0,57.0,4.89,434.0,2-Wheeler,Moderate,27.0
209.0,40.0,1.45,239.0,Car,SLOW,43.0
210.0,21.0,9.12,285.0,,Moderate,52.0
211.0,86.0,,114.0,,Slow,76.0
212.0,61.0,6.83,554.0,3-Wheeler,Moderate,69.0
213.0,76.0,,148.0,,Slow,16.0
214.0,35.0,7.79,139.0,,SLOW,44.0
215.0,44.0,7.03,353.0,car,Slow,24.0
216.0,73.0,1.81,521.0,3-Wheeler,Fast,68.0
217.0,73.0,error,,2-Wheeler,,72.0
218.0,58.0,3.48,130.0,Bus,SLOW,18.0
219.0,unknown,6.59,,Bus,,
220.0,55.0,4.27,240.0,2-Wheeler,,33.0
221.0,49.0,5.17,,Car,Slow,52.0
222.0,80.0,9.51,563.0,car,SLOW,63.0
223.0,59.0,1.02,416.0,Bus,fast,36.0
224.0,66.0,4.15,421.0,Car,Slow,
225.0,30.0,5.9,169.0,car,Slow,47.0
226.0,unknown,0.66,316.0,,,97.0
227.0,unknown,4.19,378.0,CAR,Moderate,87.0
228.0,86.0,2.77,,Bus,Fast,13.0
229.0,76.0,8.46,N/A,Bus,,98.0
,unknown,9.49,178.0,3-Wheeler,SLOW,99.0
231.0,67.0,,406.0,car,,12.0
232.0,99.0,5.52,402.0,,,44.0
233.0,83.0,2.99,339.0,Car,fast,36.0
234.0,60.0,3.11,,3-Wheeler,,14.0
235.0,95.0,9.8,512.0,,Moderate,71.0
236.0,78.0,error,386.0,Bus,Slow,91.0
237.0,39.0,3.46,508.0,car,SLOW,83.0
238.0,24.0,5.01,519.0,,Moderate,11.0
239.0,61.0,error,103.0,CAR,SLOW,42.0
240.0,95.0,9.65,249.0,,,64.0
241.0,75.0,4.15,393.0,,Fast,18.0
242.0,,5.93,492.0,3-Wheeler,,98.0
243.0,93.0,5.28,131.0,2-Wheeler,,85.0
,74.0,9.44,162.0,CAR,,43.0
245.0,20.0,error,,Bus,,77.0
246.0,unknown,6.69,427.0,Car,SLOW,50.0
,,2.5,,Bus,,57.0
248.0,61.0,6.11,178.0,2-Wheeler,Fast,68.0
249.0,,3.68,464.0,,Fast,
250.0,98.0,7.86,,CAR,fast,81.0
251.0,67.0,8.53,170.0,CAR,fast,61.0
252.0,unknown,3.88,354.0,Bus,Fast,92.0
253.0,47.0,6.34,568.0,3-Wheeler,Slow,12.0
254.0,20.0,,353.0,3-Wheeler,Fast,61.0
255.0,29.0,5.93,164.0,car,,92.0
256.0,,7.49,,Bus,Fast,30.0
257.0,29.0,8.1,,car,SLOW,
258.0,78.0,9.13,247.0,,Moderate,
259.0,30.0,error,329.0,Bus,SLOW,99.0
260.0,40.0,7.93,285.0,car,,36.0
261.0,79.0,7.48,173.0,Bus,Slow,65.0
262.0,74.0,9.1,,,Fast,58.0
263.0,48.0,1.38,247.0,3-Wheeler,SLOW,86.0
264.0,46.0,2.56,381.0,Car,Fast,92.0
,62.0,error,114.0,Car,Slow,73.0
266.0,78.0,5.27,442.0,Car,,99.0
267.0,49.0,4.67,334.0,,,66.0
268.0,,error,593.0,,Fast,49.0
269.0,60.0,9.65,196.0,Bus,Slow,79.0
270.0,36.0,,N/A,,Moderate,55.0
271.0,96.0,6.82,294.0,Bus,Moderate,81.0
272.0,27.0,8.67,340.0,3-Wheeler,Fast,46.0
,57.0,error,334.0,Bus,Moderate,67.0
274.0,31.0,0.78,165.0,Bus,fast,70.0
275.0,34.0,9.97,476.0,Bus,SLOW,92.0
276.0,57.0,4.88,436.0,2-Wheeler,Fast,33.0
277.0,58.0,error,375.0,,Moderate,21.0
278.0,83.0,3.73,193.0,Car,,47.0
279.0,93.0,1.02,457.0,Car,Fast,62.0
280.0,48.0,1.79,,2-Wheeler,,97.0
281.0,30.0,3.87,N/A,CAR,,33.0
282.0,97.0,4.58,475.0,Car,SLOW,39.0
283.0,52.0,0.9,227.0,,SLOW,72.0
284.0,35.0,9.04,412.0,2-Wheeler,Slow,21.0
285.0,89.0,5.89,423.0,2-Wheeler,Fast,68.0
286.0,70.0,8.32,302.0,2-Wheeler,,61.0
287.0,75.0,1.72,,,fast,57.0
288.0,66.0,6.77,581.0,,,60.0
289.0,59.0,,263.0,CAR,Slow,43.0
290.0,56.0,1.55,339.0,2-Wheeler,,94.0
291.0,51.0,4.25,586.0,Bus,,
292.0,63.0,9.99,248.0,CAR,,17.0
293.0,72.0,1.13,407.0,,,80.0
294.0,37.0,8.83,,2-Wheeler,,10.0
295.0,36.0,1.84,572.0,car,,52.0
296.0,42.0,3.33,100.0,,Moderate,57.0
297.0,58.0,2.95,248.0,,Moderate,84.0
298.0,72.0,2.92,271.0,Car,Slow,32.0
299.0,38.0,8.41,549.0,CAR,fast,82.0
300.0,57.0,6.9,156.0,2-Wheeler,,76.0
301.0,73.0,error,179.0,,,39.0
,77.0,6.93,570.0,car,Fast,30.0
303.0,63.0,4.88,240.0,Bus,,72.0
304.0,73.0,1.18,140.0,CAR,Moderate,54.0
305.0,86.0,,,2-Wheeler,fast,70.0
306.0,46.0,6.13,N/A,Car,,
307.0,76.0,3.1,548.0,2-Wheeler,fast,17.0
308.0,49.0,4.36,484.0,Car,fast,54.0
309.0,80.0,2.79,419.0,car,SLOW,94.0
310.0,,1.4,198.0,CAR,Fast,70.0
311.0,63.0,error,167.0,3-Wheeler,Slow,72.0
312.0,64.0,error,314.0,Car,Fast,72.0
313.0,87.0,5.71,446.0,Bus,Moderate,11.0
314.0,81.0,8.83,303.0,Car,fast,44.0
,73.0,2.61,573.0,CAR,Slow,90.0
316.0,71.0,7.87,276.0,Bus,,
317.0,27.0,,521.0,,Moderate,90.0
318.0,68.0,2.99,527.0,,SLOW,43.0
,unknown,0.64,413.0,CAR,Moderate,12.0
320.0,71.0,0.66,194.0,,Slow,54.0
321.0,unknown,4.97,404.0,,fast,75.0
322.0,46.0,6.26,337.0,CAR,Moderate,33.0
,unknown,5.57,111.0,car,,24.0
,65.0,,139.0,CAR,Moderate,79.0
325.0,63.0,9.34,N/A,car,Moderate,19.0
326.0,79.0,8.05,183.0,,Slow,97.0
327.0,72.0,8.62,109.0,2-Wheeler,Slow,66.0
328.0,unknown,6.38,523.0,CAR,Slow,61.0
,20.0,6.58,365.0,,,30.0
,55.0,1.08,505.0,,Slow,68.0
331.0,37.0,7.88,,,SLOW,54.0
,60.0,7.47,256.0,2-Wheeler,,28.0
333.0,87.0,7.41,244.0,CAR,Slow,47.0
334.0,36.0,7.47,383.0,Car,Slow,15.0
335.0,,,340.0,2-Wheeler,,74.0
336.0,50.0,error,330.0,CAR,,68.0
337.0,88.0,2.75,224.0,,,21.0
338.0,27.0,8.99,152.0,3-Wheeler,SLOW,50.0
339.0,40.0,6.97,,car,Slow,42.0
340.0,43.0,1.22,594.0,3-Wheeler,fast,75.0
341.0,52.0,8.73,103.0,3-Wheeler,Fast,61.0
342.0,42.0,,574.0,CAR,,97.0
343.0,61.0,5.52,473.0,3-Wheeler,Fast,23.0
,43.0,2.29,515.0,3-Wheeler,Fast,53.0
345.0,72.0,0.77,265.0,Car,fast,
346.0,36.0,6.74,153.0,,SLOW,15.0
347.0,,error,573.0,Bus,Moderate,
348.0,71.0,2.74,,CAR,SLOW,30.0
349.0,61.0,6.82,272.0,,fast,48.0
350.0,43.0,7.54,298.0,,SLOW,
351.0,,5.31,358.0,CAR,Moderate,51.0
352.0,,3.53,544.0,Bus,,63.0
353.0,unknown,,487.0,,fast,35.0
354.0,59.0,5.33,186.0,car,,65.0
,58.0,2.57,127.0,,Moderate,65.0
356.0,78.0,7.85,197.0,car,Slow,41.0
357.0,27.0,7.61,436.0,,fast,85.0
358.0,64.0,2.92,,2-Wheeler,SLOW,54.0
359.0,75.0,8.56,351.0,car,,36.0
360.0,61.0,4.77,172.0,2-Wheeler,Slow,58.0
361.0,87.0,7.18,N/A,3-Wheeler,fast,40.0
362.0,55.0,3.37,541.0,car,fast,62.0
363.0,82.0,,484.0,,Fast,10.0
364.0,85.0,7.29,522.0,Bus,,86.0
365.0,78.0,9.03,426.0,car,,67.0
366.0,54.0,5.48,109.0,,fast,58.0
367.0,25.0,,500.0,CAR,Fast,66.0
368.0,58.0,9.2,458.0,car,,66.0
369.0,86.0,8.94,463.0,Car,fast,12.0
370.0,22.0,7.38,299.0,car,Slow,18.0
371.0,,9.76,417.0,,Slow,57.0
372.0,84.0,2.72,515.0,Car,,54.0
,50.0,7.86,571.0,3-Wheeler,SLOW,46.0
374.0,29.0,4.76,,car,,92.0
375.0,87.0,5.71,,car,fast,47.0
376.0,unknown,1.48,362.0,,Fast,26.0
377.0,97.0,5.38,192.0,Bus,Slow,68.0
378.0,84.0,7.81,358.0,Bus,Slow,43.0
379.0,60.0,4.09,476.0,car,fast,28.0
380.0,54.0,2.48,388.0,Car,Slow,85.0
381.0,72.0,6.69,324.0,2-Wheeler,SLOW,26.0
382.0,46.0,9.37,,,,67.0
383.0,38.0,8.89,452.0,car,,99.0
384.0,23.0,error,221.0,CAR,Moderate,41.0
385.0,40.0,8.6,,2-Wheeler,,16.0
386.0,56.0,1.93,500.0,,,91.0
387.0,,,224.0,2-Wheeler,Slow,77.0
388.0,32.0,5.98,207.0,car,SLOW,94.0
,61.0,0.63,207.0,2-Wheeler,fast,86.0
390.0,47.0,6.22,550.0,car,SLOW,31.0
391.0,42.0,2.1,336.0,2-Wheeler,fast,35.0
392.0,88.0,6.12,344.0,car,Slow,50.0
393.0,unknown,,562.0,3-Wheeler,fast,90.0
394.0,60.0,8.99,449.0,3-Wheeler,fast,26.0
,48.0,0.52,345.0,CAR,fast,67.0
396.0,77.0,6.44,223.0,3-Wheeler,Fast,
397.0,,9.42,186.0,CAR,SLOW,94.0
,56.0,8.26,263.0,,,96.0
399.0,85.0,7.25,258.0,car,Moderate,34.0
400.0,78.0,3.58,362.0,2-Wheeler,Fast,18.0
401.0,58.0,error,544.0,2-Wheeler,fast,84.0
402.0,62.0,error,275.0,CAR,Moderate,85.0
,61.0,8.54,142.0,2-Wheeler,Moderate,26.0
404.0,unknown,6.4,212.0,Car,Fast,56.0
405.0,52.0,6.23,512.0,,Slow,61.0
406.0,24.0,9.56,379.0,CAR,SLOW,44.0
407.0,66.0,8.18,561.0,,fast,26.0
408.0,,5.36,326.0,,SLOW,40.0
409.0,90.0,9.78,,Bus,fast,75.0
410.0,57.0,9.2,321.0,3-Wheeler,SLOW,15.0
411.0,,6.46,525.0,3-Wheeler,SLOW,46.0
412.0,28.0,4.81,582.0,,SLOW,63.0
413.0,unknown,9.21,216.0,Bus,,17.0
414.0,58.0,7.18,198.0,Bus,fast,94.0
415.0,99.0,3.97,412.0,2-Wheeler,Fast,11.0
416.0,76.0,,276.0,2-Wheeler,SLOW,17.0
417.0,75.0,,461.0,CAR,Fast,75.0
418.0,72.0,1.83,162.0,,,80.0
419.0,59.0,9.65,308.0,2-Wheeler,,83.0
420.0,82.0,7.9,472.0,3-Wheeler,,39.0
421.0,38.0,9.07,268.0,2-Wheeler,SLOW,53.0
,92.0,4.82,203.0,2-Wheeler,fast,65.0
423.0,unknown,8.97,118.0,,,83.0
424.0,36.0,5.85,,Car,,34.0
425.0,37.0,3.99,170.0,2-Wheeler,,70.0
426.0,59.0,4.29,,Car,,73.0
427.0,61.0,1.39,537.0,CAR,,58.0
,49.0,6.86,N/A,,Slow,49.0
429.0,92.0,6.69,120.0,Bus,fast,91.0
430.0,92.0,5.07,371.0,CAR,,78.0
,,4.21,416.0,,fast,57.0
432.0,31.0,5.83,,,fast,19.0
433.0,66.0,3.28,N/A,Car,Moderate,37.0
,,7.56,228.0,CAR,Fast,33.0
435.0,67.0,6.47,264.0,2-Wheeler,,18.0
436.0,unknown,2.4,556.0,,fast,61.0
437.0,30.0,0.82,464.0,Bus,,51.0
438.0,,4.63,551.0,Car,fast,41.0
439.0,59.0,1.1,554.0,Bus,Moderate,76.0
440.0,49.0,9.84,465.0,2-Wheeler,Fast,63.0
441.0,33.0,error,496.0,CAR,,87.0
442.0,20.0,6.3,206.0,2-Wheeler,fast,43.0
443.0,58.0,9.68,300.0,CAR,,12.0
444.0,78.0,2.59,432.0,Car,Slow,46.0
445.0,56.0,4.64,272.0,Bus,SLOW,83.0
446.0,77.0,error,342.0,,fast,94.0
447.0,unknown,5.18,236.0,,fast,46.0
448.0,71.0,9.05,551.0,3-Wheeler,SLOW,54.0
,82.0,7.72,224.0,2-Wheeler,,61.0
450.0,82.0,9.37,348.0,3-Wheeler,fast,69.0
451.0,unknown,9.16,N/A,,,34.0
452.0,,,499.0,,Fast,95.0
453.0,45.0,7.26,317.0,2-Wheeler,fast,68.0
454.0,39.0,9.59,219.0,3-Wheeler,fast,
455.0,89.0,3.14,415.0,2-Wheeler,,25.0
456.0,79.0,9.62,561.0,2-Wheeler,Moderate,85.0
457.0,55.0,2.58,517.0,Bus,,87.0
458.0,67.0,9.35,,,Fast,61.0
,23.0,7.92,221.0,Car,,25.0
,69.0,8.49,561.0,3-Wheeler,fast,48.0
461.0,54.0,1.01,478.0,CAR,Moderate,12.0
462.0,71.0,3.3,188.0,,Slow,
463.0,30.0,3.13,572.0,3-Wheeler,fast,35.0
464.0,78.0,error,490.0,,Moderate,74.0
465.0,93.0,1.99,N/A,,SLOW,77.0
466.0,98.0,2.66,371.0,2-Wheeler,,32.0
467.0,69.0,7.7,,Car,,31.0
468.0,81.0,5.76,373.0,car,,
469.0,73.0,8.57,240.0,,SLOW,71.0
470.0,41.0,3.63,227.0,CAR,,89.0
471.0,27.0,,375.0,Bus,SLOW,27.0
472.0,,,475.0,Car,fast,42.0
473.0,66.0,7.69,,,,
,,,256.0,Bus,,78.0
475.0,60.0,1.09,426.0,Bus,SLOW,35.0
,48.0,6.77,346.0,Car,Fast,43.0
477.0,49.0,error,531.0,Bus,,44.0
478.0,90.0,,220.0,Bus,Moderate,96.0
479.0,29.0,0.57,305.0,3-Wheeler,SLOW,53.0
480.0,34.0,error,397.0,2-Wheeler,,50.0
481.0,69.0,1.22,464.0,Bus,Fast,42.0
482.0,43.0,7.33,421.0,Car,,70.0
483.0,,0.9,288.0,Car,Moderate,39.0
,61.0,9.24,589.0,2-Wheeler,Moderate,
485.0,98.0,9.12,568.0,3-Wheeler,Fast,30.0
486.0,40.0,8.42,395.0,car,Fast,98.0
487.0,51.0,3.73,355.0,,,81.0
488.0,unknown,1.95,558.0,car,Moderate,61.0
489.0,85.0,5.38,,car,,
490.0,90.0,2.06,562.0,3-Wheeler,,17.0
491.0,78.0,7.43,236.0,3-Wheeler,Slow,27.0
492.0,35.0,4.18,573.0,,Moderate,26.0
493.0,31.0,,319.0,Bus,Fast,53.0
494.0,44.0,error,435.0,,SLOW,60.0
495.0,,,423.0,Bus,Fast,66.0
496.0,48.0,2.36,320.0,Car,SLOW,27.0
497.0,78.0,4.23,341.0,,fast,67.0
,56.0,1.96,170.0,car,SLOW,
499.0,34.0,6.04,475.0,,Slow,32.0
500.0,53.0,,129.0,Bus,Slow,54.0
501.0,58.0,8.25,,,fast,50.0
502.0,43.0,,153.0,,SLOW,
503.0,63.0,0.77,196.0,,,93.0
504.0,35.0,8.42,517.0,Bus,Fast,97.0
,77.0,error,222.0,,Moderate,
506.0,25.0,9.99,188.0,3-Wheeler,Fast,42.0
507.0,38.0,error,579.0,2-Wheeler,,31.0
508.0,76.0,2.95,281.0,car,,31.0
509.0,94.0,6.17,356.0,CAR,Moderate,50.0
510.0,20.0,6.64,301.0,CAR,fast,21.0
,32.0,6.07,,CAR,Slow,11.0
,36.0,0.61,185.0,car,Moderate,
513.0,47.0,9.54,266.0,CAR,,84.0
514.0,71.0,error,146.0,CAR,fast,
515.0,93.0,error,,2-Wheeler,fast,33.0
516.0,25.0,9.3,199.0,Car,SLOW,28.0
517.0,25.0,2.41,260.0,2-Wheeler,,81.0
518.0,99.0,8.32,414.0,3-Wheeler,,89.0
519.0,,4.71,217.0,,fast,67.0
520.0,82.0,3.16,341.0,3-Wheeler,Moderate,40.0
,91.0,,421.0,Bus,Fast,32.0
522.0,unknown,6.83,253.0,Car,Moderate,18.0
523.0,89.0,1.38,228.0,,Slow,29.0
524.0,46.0,9.17,256.0,3-Wheeler,Fast,10.0
525.0,81.0,7.12,228.0,,,55.0
526.0,32.0,2.74,592.0,Bus,,30.0
527.0,78.0,,139.0,,,75.0
528.0,79.0,6.33,385.0,2-Wheeler,Moderate,
529.0,,7.27,N/A,2-Wheeler,SLOW,48.0
530.0,63.0,8.6,121.0,3-Wheeler,Slow,35.0
,unknown,5.22,101.0,,,43.0
532.0,49.0,error,597.0,2-Wheeler,Moderate,64.0
533.0,32.0,1.1,315.0,car,SLOW,54.0
534.0,,2.72,357.0,2-Wheeler,SLOW,47.0
535.0,97.0,3.5,591.0,Car,Moderate,50.0
