Vehicle_ID,Battery_Capacity_kWh,Charging_Time_hr,Range_km,Vehicle_Type,Charging_Station_Type,State_of_Charge_%
60,23.0,9.52,351,3-Wheeler,Moderate,30
61,,,363,3-Wheeler,Fast,72
62,,1.16,504,,Moderate,53
63,95.0,6.94,303,2-Wheeler,Moderate,72
64,94.0,4.24,252,,Slow,30
65,76.0,3.6,309,,Fast,18
66,34.0,8.42,431,3-Wheeler,Fast,44
67,98.0,8.75,112,2-Wheeler,Moderate,51
68,49.0,4.39,149,2-Wheeler,Slow,25
69,40.0,7.33,237,3-Wheeler,Moderate,59
70,36.0,7.97,114,2-Wheeler,Moderate,90
71,60.0,9.39,193,Bus,Slow,64
72,46.0,8.55,315,,Slow,15
73,87.0,8.62,452,Bus,Moderate,57
74,38.0,9.19,287,Car,Moderate,25
75,47.0,2.29,538,2-Wheeler,Fast,17
76,98.0,6.36,174,Car,Fast,48
77,54.0,6.65,565,2-Wheeler,Moderate,22
78,,9.41,315,Car,Moderate,15
79,68.0,1.76,147,Bus,Fast,54
80,83.0,1.93,596,Car,Fast,93
81,66.0,,286,Car,Slow,57
82,21.0,6.4,596,2-Wheeler,Slow,67
83,53.0,8.49,303,2-Wheeler,Slow,15
84,27.0,6.57,248,Bus,Moderate,92
85,42.0,0.55,562,Car,Moderate,10
86,38.0,,183,Car,Slow,38
87,23.0,5.07,154,Bus,Moderate,23
88,65.0,8.32,436,2-Wheeler,Fast,12
89,72.0,5.39,492,Bus,Moderate,92
90,32.0,4.1,246,,Moderate,85
91,28.0,7.65,149,3-Wheeler,Fast,21
92,47.0,4.93,423,Car,Slow,94
93,95.0,7.02,139,,Slow,82
94,34.0,5.72,368,Car,Fast,26
95,86.0,7.74,539,Bus,Moderate,69
96,,9.33,256,2-Wheeler,Moderate,40
97,,6.03,390,3-Wheeler,Slow,13
98,67.0,7.47,566,,Slow,38
99,38.0,6.27,256,,Fast,26
100,77.0,5.19,222,3-Wheeler,Moderate,57
101,65.0,1.45,306,3-Wheeler,Fast,56
102,51.0,2.51,171,Bus,Fast,80
103,44.0,0.9,348,Car,Fast,18
104,87.0,1.14,328,Car,Slow,19
105,87.0,7.69,145,Bus,Moderate,67
106,,0.61,289,,Moderate,44
107,73.0,7.28,469,Bus,Moderate,77
108,58.0,7.7,436,3-Wheeler,Slow,86
109,50.0,7.84,264,2-Wheeler,Moderate,35
110,46.0,1.95,513,,Moderate,56
111,96.0,2.58,553,Bus,Fast,81
112,62.0,5.46,469,2-Wheeler,Fast,76
113,42.0,2.76,108,3-Wheeler,Slow,43
114,,9.94,324,2-Wheeler,Slow,61
115,23.0,1.92,299,3-Wheeler,Moderate,43
116,44.0,,574,3-Wheeler,Slow,92
117,31.0,2.91,467,Car,Fast,51
118,50.0,1.7,184,2-Wheeler,Moderate,16
119,99.0,3.11,486,Car,Moderate,95
120,30.0,3.17,468,2-Wheeler,Moderate,63
121,48.0,3.19,146,3-Wheeler,Fast,39
122,58.0,1.52,462,3-Wheeler,Moderate,68
123,53.0,4.55,505,3-Wheeler,Slow,27
124,69.0,,509,Bus,Slow,66
125,31.0,3.63,138,2-Wheeler,Moderate,49
126,82.0,4.13,223,2-Wheeler,Slow,81
127,79.0,9.91,175,Car,Slow,50
128,63.0,1.04,206,Car,Moderate,81
129,82.0,1.31,353,3-Wheeler,Slow,97
130,,7.86,105,3-Wheeler,Fast,89
131,64.0,6.37,468,Bus,Moderate,86
132,90.0,2.52,197,Car,Fast,98
133,43.0,0.74,337,3-Wheeler,Slow,80
134,31.0,2.49,447,Bus,Fast,23
135,95.0,6.18,285,2-Wheeler,Slow,83
136,24.0,5.58,576,2-Wheeler,Moderate,53
137,59.0,5.14,586,Car,Fast,50
138,85.0,6.1,563,Car,Fast,89
139,99.0,9.14,218,,Slow,37
140,41.0,2.34,128,Bus,Moderate,69
141,81.0,9.48,358,Bus,Moderate,80
142,79.0,6.93,113,2-Wheeler,Fast,11
143,80.0,,291,Car,Fast,88
144,,5.3,294,3-Wheeler,Slow,51
145,65.0,7.26,157,Car,Slow,11
146,93.0,1.51,515,Car,Moderate,79
147,90.0,6.75,114,Car,Moderate,93
148,77.0,2.1,393,Bus,Moderate,80
149,95.0,4.49,512,2-Wheeler,Moderate,30
150,52.0,1.56,443,3-Wheeler,Slow,86
151,,8.89,172,3-Wheeler,Fast,99
152,22.0,2.58,314,Car,Moderate,75
153,25.0,3.51,505,Car,Slow,56
154,88.0,8.13,440,Car,Slow,97
155,25.0,,347,Car,Fast,46
156,42.0,,404,2-Wheeler,Slow,25
157,,6.5,337,2-Wheeler,Moderate,60
158,90.0,5.18,261,2-Wheeler,Slow,50
159,99.0,8.16,198,Car,Fast,50
160,59.0,7.93,561,Car,Slow,96
161,21.0,6.78,138,Bus,Slow,55
162,77.0,1.68,366,Car,Fast,45
163,99.0,,492,Bus,Slow,37
164,68.0,,105,Car,Slow,23
165,,4.46,320,2-Wheeler,Fast,56
166,34.0,9.61,531,2-Wheeler,Slow,84
167,,,241,,Fast,15
168,20.0,6.19,254,2-Wheeler,Fast,96
169,68.0,5.45,495,Car,Moderate,81
170,46.0,2.91,511,Car,Moderate,50
171,93.0,5.2,227,Bus,Slow,41
172,74.0,7.08,473,3-Wheeler,Moderate,90
173,23.0,8.41,183,2-Wheeler,Fast,96
174,76.0,2.54,563,3-Wheeler,Slow,66
175,53.0,2.34,410,2-Wheeler,Moderate,84
176,,3.59,313,Bus,Fast,69
177,53.0,9.41,179,2-Wheeler,Moderate,18
178,65.0,6.01,308,2-Wheeler,Fast,16
179,48.0,6.61,501,,Moderate,94
180,84.0,6.81,283,2-Wheeler,Slow,30
181,84.0,5.91,450,3-Wheeler,Slow,25
182,92.0,7.83,333,3-Wheeler,Moderate,74
183,24.0,5.44,428,,Moderate,60
184,22.0,3.39,193,3-Wheeler,Slow,52
185,62.0,8.76,367,Car,Fast,14
186,,8.44,177,Car,Moderate,15
187,42.0,,195,,Moderate,29
188,82.0,3.07,173,2-Wheeler,Slow,50
189,,,340,Bus,Fast,73
190,24.0,0.92,148,2-Wheeler,Fast,56
191,71.0,4.36,366,Bus,Moderate,90
192,38.0,2.89,136,3-Wheeler,Moderate,32
193,87.0,6.71,534,Car,Moderate,18
194,53.0,4.57,543,,Fast,59
195,,6.32,101,3-Wheeler,Fast,10
196,42.0,4.34,527,Car,Fast,69
197,63.0,3.63,177,2-Wheeler,Slow,91
198,58.0,0.91,421,Car,Fast,74
199,88.0,2.63,395,3-Wheeler,Slow,20
200,77.0,5.81,324,2-Wheeler,Fast,62
201,,,231,Car,Slow,92
202,86.0,2.54,159,2-Wheeler,Moderate,18
203,99.0,2.17,370,Bus,Slow,45
204,64.0,3.89,584,Bus,Fast,24
205,40.0,7.07,392,3-Wheeler,Slow,82
206,97.0,6.01,459,3-Wheeler,Fast,24
207,79.0,5.49,594,Car,Moderate,66
208,90.0,1.61,178,Car,Moderate,33
209,46.0,2.3,318,Bus,Moderate,75
210,75.0,8.66,191,Car,Slow,91
211,48.0,3.08,355,Car,Slow,40
212,86.0,9.14,438,,Fast,31
213,42.0,9.75,363,,Fast,75
214,61.0,9.84,451,2-Wheeler,Moderate,57
215,89.0,5.74,201,2-Wheeler,Slow,69
216,47.0,8.47,408,,Slow,57
217,75.0,3.89,317,Bus,Slow,49
218,91.0,7.5,213,2-Wheeler,Slow,67
219,72.0,3.58,320,Car,Slow,44
220,47.0,1.98,407,3-Wheeler,Slow,27
221,28.0,6.87,330,,Fast,84
222,73.0,8.69,239,Bus,Fast,18
223,36.0,6.61,362,,Fast,30
224,36.0,9.78,112,2-Wheeler,Fast,43
225,,8.02,238,Car,Moderate,24
226,52.0,1.89,529,Car,Slow,90
227,63.0,4.38,263,3-Wheeler,Fast,57
228,72.0,,272,2-Wheeler,Fast,72
229,89.0,4.8,360,2-Wheeler,Slow,98
230,83.0,4.53,151,,Fast,55
231,45.0,1.33,543,2-Wheeler,Fast,27
232,79.0,9.86,348,2-Wheeler,Moderate,46
233,24.0,1.24,584,,Fast,60
234,89.0,7.18,363,Bus,Moderate,60
235,46.0,2.54,483,2-Wheeler,Fast,80
236,87.0,1.17,343,2-Wheeler,Slow,44
237,99.0,3.45,433,Bus,Moderate,50
238,79.0,9.99,109,Bus,Fast,89
239,97.0,5.65,202,2-Wheeler,Fast,89
240,30.0,2.27,355,3-Wheeler,Fast,96
241,23.0,7.47,128,,Slow,62
242,41.0,1.42,520,3-Wheeler,Slow,22
243,37.0,3.78,265,Car,Fast,45
244,,5.99,228,Bus,Moderate,62
245,,8.17,524,Bus,Slow,44
246,,7.35,402,,Fast,76
247,91.0,2.96,414,3-Wheeler,Fast,48
248,29.0,1.75,270,Car,Slow,91
249,54.0,0.66,416,Bus,Slow,54
250,65.0,,193,2-Wheeler,Slow,11
251,46.0,7.01,380,Car,Fast,45
252,72.0,9.72,365,2-Wheeler,Moderate,46
253,97.0,1.68,387,Car,Fast,77
254,,2.05,521,2-Wheeler,Moderate,47
255,,9.64,526,3-Wheeler,Moderate,47
256,59.0,6.01,408,2-Wheeler,Fast,91
257,97.0,9.99,438,2-Wheeler,Slow,17
258,42.0,4.52,240,2-Wheeler,Moderate,35
259,67.0,,329,,Moderate,77
260,94.0,6.45,497,Bus,Fast,57
261,54.0,5.65,295,3-Wheeler,Moderate,98
262,60.0,8.61,508,Bus,Moderate,72
263,40.0,9.68,220,3-Wheeler,Fast,83
264,85.0,8.3,566,Car,Slow,32
265,57.0,,136,2-Wheeler,Moderate,68
266,31.0,1.58,102,,Slow,16
267,91.0,4.88,366,Car,Moderate,75
268,32.0,,142,Car,Moderate,88
269,60.0,7.18,434,,Fast,82
270,47.0,5.42,170,2-Wheeler,Fast,99
271,76.0,2.92,543,Car,Moderate,77
272,90.0,,141,Car,Slow,89
273,46.0,9.58,412,Bus,Moderate,88
274,94.0,6.36,545,3-Wheeler,Moderate,18
275,91.0,6.88,577,,Fast,85
276,76.0,5.54,540,2-Wheeler,Slow,92
277,76.0,6.29,130,3-Wheeler,Moderate,33
278,57.0,9.26,110,3-Wheeler,Fast,24
279,71.0,8.65,153,,Fast,69
280,23.0,4.36,422,2-Wheeler,Slow,94
281,,7.04,504,Bus,Fast,14
282,,9.93,555,3-Wheeler,Slow,44
283,73.0,8.33,118,2-Wheeler,Fast,50
284,62.0,2.57,563,2-Wheeler,Fast,91
285,67.0,4.26,422,3-Wheeler,Moderate,32
286,29.0,7.25,212,Bus,Slow,74
287,39.0,3.64,238,Bus,Fast,52
288,58.0,8.84,410,,Moderate,62
289,41.0,8.58,173,2-Wheeler,Moderate,86
290,77.0,1.66,266,Car,Slow,90
291,72.0,9.81,267,3-Wheeler,Fast,11
292,48.0,,553,2-Wheeler,Slow,86
293,49.0,1.53,127,3-Wheeler,Slow,38
294,82.0,8.85,424,,Fast,13
295,42.0,8.73,445,2-Wheeler,Fast,89
296,77.0,8.23,444,Car,Slow,49
297,60.0,0.63,427,Bus,Fast,57
298,52.0,7.67,338,Bus,Moderate,69
299,26.0,0.56,288,3-Wheeler,Fast,78
300,75.0,1.66,201,3-Wheeler,Slow,76
301,28.0,8.35,459,3-Wheeler,Fast,67
302,27.0,3.45,577,2-Wheeler,Fast,59
303,69.0,9.02,217,Bus,Fast,13
304,30.0,9.21,183,Bus,Fast,11
305,80.0,8.18,591,3-Wheeler,Slow,33
306,40.0,,187,2-Wheeler,Slow,16
307,,4.61,491,,Fast,45
308,39.0,1.12,180,Car,Moderate,17
309,40.0,7.62,467,Car,Fast,11
310,59.0,4.03,510,Bus,Slow,34
311,32.0,2.19,546,Car,Moderate,14
312,82.0,2.06,427,Car,Moderate,69
313,58.0,2.62,187,Car,Fast,22
314,51.0,1.91,341,Bus,Moderate,48
315,75.0,0.6,562,,Slow,70
316,95.0,4.32,389,3-Wheeler,Slow,85
317,88.0,9.45,561,3-Wheeler,Moderate,50
318,20.0,1.11,343,Car,Slow,47
319,80.0,8.37,206,Car,Fast,31
320,81.0,4.01,581,,Fast,79
321,34.0,4.67,104,3-Wheeler,Fast,71
322,71.0,7.09,290,3-Wheeler,Slow,73
323,22.0,6.16,213,3-Wheeler,Slow,31
324,95.0,4.36,232,2-Wheeler,Moderate,42
325,75.0,3.17,516,2-Wheeler,Slow,19
326,45.0,3.3,221,,Fast,31
327,78.0,3.91,568,3-Wheeler,Moderate,69
328,57.0,9.89,484,2-Wheeler,Slow,42
329,27.0,4.15,352,Car,Moderate,73
330,,,594,Car,Moderate,65
331,,2.19,193,Bus,Moderate,56
332,26.0,7.41,190,3-Wheeler,Fast,48
333,73.0,0.56,310,Bus,Moderate,79
334,,0.86,407,3-Wheeler,Fast,74
335,95.0,8.27,340,,Moderate,65
336,91.0,7.92,526,3-Wheeler,Slow,47
337,65.0,8.28,207,3-Wheeler,Slow,51
338,37.0,5.04,341,Bus,Moderate,96
339,,5.75,340,,Moderate,40
340,58.0,3.78,281,Bus,Fast,48
341,61.0,1.89,258,Car,Moderate,48
342,77.0,,519,Bus,Slow,71
343,76.0,2.11,211,3-Wheeler,Fast,16
344,31.0,9.36,184,Bus,Moderate,77
345,60.0,9.13,470,2-Wheeler,Fast,35
346,41.0,,169,2-Wheeler,Slow,56
347,55.0,9.12,438,Car,Fast,51
348,94.0,8.7,425,3-Wheeler,Slow,55
349,57.0,6.85,113,3-Wheeler,Slow,88
350,98.0,9.73,412,2-Wheeler,Moderate,87
351,56.0,2.04,280,2-Wheeler,Fast,71
352,82.0,,355,2-Wheeler,Slow,39
353,23.0,5.68,518,2-Wheeler,Fast,65
354,85.0,4.7,237,2-Wheeler,Fast,37
355,76.0,7.74,279,Car,Slow,79
356,49.0,1.44,113,Car,Slow,88
357,40.0,,320,2-Wheeler,Moderate,72
358,89.0,1.71,389,Bus,Moderate,26
359,24.0,7.53,102,2-Wheeler,Slow,80
360,94.0,6.12,192,2-Wheeler,Fast,31
361,72.0,5.09,167,2-Wheeler,Moderate,87
362,63.0,6.02,517,Car,Fast,33
363,,1.44,298,2-Wheeler,Moderate,45
364,,6.01,567,3-Wheeler,Moderate,70
365,52.0,5.56,320,,Slow,12
366,72.0,1.76,564,2-Wheeler,Moderate,67
367,42.0,6.35,251,Bus,Moderate,10
368,40.0,,116,Bus,Fast,71
369,,7.75,589,2-Wheeler,Moderate,94
370,78.0,1.99,383,Car,Slow,75
371,80.0,3.56,515,2-Wheeler,Fast,57
372,63.0,3.3,126,,Slow,43
373,,9.97,113,,Fast,80
374,62.0,7.92,516,Bus,Fast,32
375,,7.41,525,3-Wheeler,Moderate,88
376,76.0,3.13,298,2-Wheeler,Slow,93
377,99.0,9.34,101,Car,Slow,67
378,20.0,4.37,432,3-Wheeler,Moderate,78
379,,0.77,457,,Slow,62
380,31.0,3.13,372,Car,Moderate,69
381,37.0,3.28,295,Bus,Moderate,20
382,77.0,4.4,295,Car,Fast,72
383,99.0,1.27,522,,Moderate,59
384,,,213,2-Wheeler,Moderate,74
385,38.0,6.97,550,Car,Slow,29
386,,6.58,177,,Slow,56
387,54.0,,442,Bus,Slow,88
388,38.0,8.11,356,,Slow,97
389,,3.86,333,3-Wheeler,Moderate,23
390,59.0,9.09,406,Bus,Slow,13
391,94.0,2.14,148,Bus,Slow,29
392,64.0,4.63,430,Car,Fast,81
393,67.0,,269,Bus,Fast,80
394,50.0,2.97,437,2-Wheeler,Fast,69
395,60.0,1.58,224,Car,Slow,37
396,85.0,7.13,557,2-Wheeler,Moderate,97
397,,6.45,434,Car,Moderate,61
398,69.0,4.16,119,2-Wheeler,Moderate,65
399,64.0,,162,Car,Fast,80
400,23.0,4.76,346,2-Wheeler,Slow,54
401,95.0,4.94,174,,Slow,89
402,28.0,9.51,397,3-Wheeler,Moderate,60
403,35.0,3.9,413,Bus,Slow,61
404,94.0,3.74,552,2-Wheeler,Slow,77
405,73.0,1.2,337,,Slow,29
406,64.0,9.9,218,3-Wheeler,Moderate,76
407,85.0,,157,Car,Slow,58
408,48.0,2.08,124,3-Wheeler,Slow,79
409,23.0,4.49,112,,Slow,83
410,,6.97,144,3-Wheeler,Slow,71
411,52.0,6.8,124,Bus,Fast,70
412,62.0,3.31,533,3-Wheeler,Slow,71
413,64.0,7.79,585,Car,Slow,96
414,60.0,5.22,363,3-Wheeler,Fast,38
415,92.0,4.69,459,Bus,Moderate,83
416,62.0,8.78,110,3-Wheeler,Fast,34
417,47.0,5.23,572,Bus,Moderate,14
418,57.0,3.03,457,2-Wheeler,Fast,49
419,58.0,9.63,502,Car,Slow,25
420,,5.81,340,Bus,Moderate,34
421,41.0,0.79,153,2-Wheeler,Moderate,17
422,,7.46,540,Car,Fast,31
423,62.0,9.22,158,Bus,Fast,58
424,87.0,8.49,197,Car,Slow,39
425,62.0,8.49,242,3-Wheeler,Slow,60
426,96.0,1.38,491,Bus,Moderate,29
427,86.0,9.9,355,2-Wheeler,Fast,62
428,93.0,9.16,173,,Moderate,31
429,73.0,5.73,247,2-Wheeler,Moderate,56
430,74.0,5.76,391,Car,Fast,58
431,78.0,5.54,229,2-Wheeler,Fast,44
432,80.0,7.19,486,Car,Moderate,36
433,62.0,1.89,515,Car,Fast,85
434,87.0,7.43,383,3-Wheeler,Moderate,47
435,74.0,5.85,190,Car,Fast,40
436,,8.59,269,3-Wheeler,Fast,81
437,,5.34,391,2-Wheeler,Moderate,87
438,74.0,2.66,367,Bus,Moderate,18
439,36.0,3.95,571,3-Wheeler,Moderate,48
440,61.0,0.52,330,Car,Moderate,95
441,31.0,9.91,346,,Moderate,25
442,45.0,3.31,445,Bus,Moderate,34
443,30.0,7.74,214,Bus,Slow,87
444,30.0,8.76,126,Car,Slow,37
445,32.0,8.34,145,Bus,Slow,36
446,26.0,3.96,276,2-Wheeler,Moderate,14
447,36.0,,557,Car,Slow,56
448,86.0,5.64,159,Bus,Moderate,94
449,,0.93,342,Bus,Fast,53
450,76.0,7.45,248,Bus,Slow,99
451,71.0,8.12,416,Bus,Slow,66
452,82.0,0.71,256,2-Wheeler,Moderate,39
453,68.0,6.9,365,Bus,Slow,76
454,78.0,8.81,127,Car,Fast,17
455,21.0,3.51,247,Bus,Slow,73
456,38.0,7.32,597,Bus,Moderate,75
457,50.0,2.34,459,,Moderate,32
458,91.0,0.57,507,Car,Slow,40
459,24.0,7.03,536,2-Wheeler,Slow,20
460,95.0,5.82,436,3-Wheeler,Moderate,15
461,,1.98,586,Car,Fast,46
462,59.0,1.35,501,Car,Slow,35
463,54.0,5.97,415,Bus,Fast,29
464,90.0,4.6,445,Car,Fast,84
465,90.0,4.83,429,Car,Moderate,81
466,57.0,,164,2-Wheeler,Slow,16
467,,6.6,523,Bus,Fast,83
468,65.0,9.97,407,Car,Fast,93
469,23.0,5.2,360,3-Wheeler,Moderate,91
470,53.0,9.98,542,Car,Slow,20
471,37.0,5.76,359,3-Wheeler,Fast,38
472,99.0,6.22,405,2-Wheeler,Fast,51
473,56.0,7.52,410,3-Wheeler,Fast,87
474,48.0,9.39,384,,Moderate,79
475,33.0,4.82,146,3-Wheeler,Slow,75
476,56.0,2.06,101,Bus,Slow,52
477,39.0,5.89,116,Bus,Fast,69
478,34.0,5.65,316,2-Wheeler,Moderate,41
479,39.0,2.38,295,Bus,Fast,84
480,26.0,8.62,316,3-Wheeler,Fast,75
481,85.0,8.31,246,3-Wheeler,Slow,29
482,56.0,6.17,265,,Moderate,96
483,,0.99,386,Car,Slow,64
484,49.0,2.21,308,2-Wheeler,Slow,27
485,69.0,6.07,361,,Slow,37
486,31.0,2.95,332,2-Wheeler,Fast,67
487,66.0,4.95,268,,Slow,98
488,58.0,1.11,548,,Slow,85
489,,5.85,237,Bus,Slow,46
490,51.0,8.05,522,3-Wheeler,Moderate,36
491,92.0,9.36,305,,Slow,63
492,85.0,,189,2-Wheeler,Slow,62
493,94.0,1.56,453,2-Wheeler,Moderate,83
494,66.0,5.29,544,3-Wheeler,Moderate,22
495,72.0,1.91,293,3-Wheeler,Moderate,20
496,39.0,7.67,356,,Fast,67
497,40.0,,439,Car,Slow,48
498,79.0,2.36,580,2-Wheeler,Fast,67
499,78.0,3.28,492,,Fast,69
500,,5.79,287,Bus,Fast,94
501,83.0,9.6,328,2-Wheeler,Fast,51
502,63.0,5.18,172,Bus,Fast,79
503,95.0,8.71,477,3-Wheeler,Moderate,15
504,39.0,,419,3-Wheeler,Moderate,31
505,40.0,8.14,111,Bus,Moderate,76
506,75.0,9.71,570,Bus,Fast,76
507,,5.04,160,,Moderate,84
508,30.0,2.36,367,Car,Slow,69
509,66.0,7.2,256,Car,Fast,93
510,67.0,2.51,403,2-Wheeler,Slow,91
511,62.0,8.91,418,3-Wheeler,Fast,53
512,31.0,1.58,477,Car,Slow,34
513,,4.75,493,,Moderate,32
514,26.0,6.39,298,Bus,Slow,25
515,75.0,1.95,162,2-Wheeler,Fast,29
516,55.0,5.82,297,Car,Moderate,31
517,77.0,2.91,382,Car,Slow,98
518,99.0,4.95,116,Bus,Fast,88
519,70.0,6.7,197,3-Wheeler,Slow,33
520,67.0,6.39,588,Bus,Slow,44
521,78.0,6.04,236,3-Wheeler,Moderate,23
522,,4.29,552,3-Wheeler,Moderate,51
523,42.0,7.05,155,Bus,Moderate,91
524,27.0,7.96,535,Bus,Fast,87
525,83.0,1.69,517,2-Wheeler,Slow,54
526,23.0,5.65,450,3-Wheeler,Moderate,31
527,44.0,3.03,374,2-Wheeler,Slow,54
528,40.0,4.81,188,2-Wheeler,Moderate,94
529,27.0,5.66,245,Car,Fast,35
530,38.0,4.26,267,Bus,Slow,51
531,34.0,3.26,514,Car,Fast,88
532,49.0,3.14,193,Car,Fast,29
533,24.0,3.27,335,3-Wheeler,Slow,47
534,99.0,3.08,225,Car,Slow,89
535,,4.9,133,2-Wheeler,Moderate,34
536,34.0,5.94,326,,Moderate,84
537,47.0,2.09,589,Car,Moderate,33
538,32.0,2.41,383,,Fast,15
539,42.0,2.69,491,3-Wheeler,Slow,55
540,69.0,9.25,500,,Fast,70
541,35.0,2.41,464,,Slow,52
542,71.0,9.13,396,Car,Slow,93
543,47.0,3.07,262,2-Wheeler,Moderate,19
544,62.0,8.31,597,Car,Moderate,12
545,64.0,8.72,102,2-Wheeler,Fast,90
546,,7.39,450,Car,Moderate,25
547,48.0,4.01,588,3-Wheeler,Slow,49
548,99.0,5.95,284,2-Wheeler,Moderate,68
549,36.0,4.89,344,3-Wheeler,Slow,20
550,21.0,6.28,380,3-Wheeler,Slow,13
551,41.0,4.69,309,2-Wheeler,Moderate,74
552,36.0,1.57,211,2-Wheeler,Moderate,51
553,88.0,9.17,521,Car,Slow,52
554,67.0,7.19,556,2-Wheeler,Moderate,16
555,77.0,,261,Car,Moderate,41
556,54.0,7.51,323,Car,Moderate,49
557,89.0,6.58,476,Car,Slow,55
558,,2.62,393,,Fast,44
559,88.0,5.25,390,Bus,Moderate,55
560,62.0,5.06,394,3-Wheeler,Slow,28
561,25.0,2.76,401,Bus,Moderate,61
562,40.0,6.77,118,Bus,Slow,65
563,63.0,8.92,322,Bus,Fast,94
564,87.0,8.72,150,,Slow,89
565,77.0,3.35,284,3-Wheeler,Slow,61
566,47.0,9.71,103,Car,Fast,91
567,68.0,4.87,116,Bus,Slow,99
568,29.0,7.91,578,2-Wheeler,Moderate,97
569,36.0,7.98,576,,Moderate,99
570,,9.8,598,2-Wheeler,Slow,95
571,,3.08,243,3-Wheeler,Moderate,91
572,21.0,4.63,233,3-Wheeler,Fast,89
573,45.0,6.36,353,,Slow,83
574,80.0,1.38,352,Car,Fast,54
575,38.0,4.63,465,2-Wheeler,Fast,35
576,69.0,3.21,471,2-Wheeler,Fast,22
577,75.0,6.24,196,Car,Fast,63
578,,9.65,460,3-Wheeler,Fast,42
579,,5.75,152,Bus,Fast,13
580,32.0,6.95,576,3-Wheeler,Moderate,24
581,90.0,4.94,420,Bus,Fast,43
582,73.0,3.95,115,3-Wheeler,Moderate,44
583,24.0,0.91,292,,Slow,12
584,40.0,9.28,305,Car,Fast,53
585,57.0,2.76,439,Car,Moderate,59
586,73.0,2.09,540,Car,Fast,16
587,,7.84,465,Car,Moderate,61
588,,9.65,542,Bus,Slow,81
589,,1.8,391,3-Wheeler,Moderate,66
590,48.0,1.17,546,Bus,Slow,91
591,82.0,1.66,585,2-Wheeler,Fast,61
592,44.0,7.58,276,Car,Slow,94
593,37.0,4.61,426,Car,Slow,20
594,36.0,0.95,403,2-Wheeler,Slow,73
595,45.0,3.28,515,Bus,Fast,90
596,,8.15,242,Bus,Fast,49
597,31.0,7.54,141,,Moderate,63
598,79.0,4.32,178,3-Wheeler,Slow,99
599,51.0,6.98,453,Car,Moderate,22
600,40.0,7.65,104,3-Wheeler,Fast,80
601,,6.8,521,Bus,Fast,26
602,63.0,2.2,206,2-Wheeler,Slow,91
603,96.0,4.36,146,3-Wheeler,Moderate,72
604,45.0,7.19,552,Bus,Fast,11
605,56.0,2.96,310,Car,Moderate,80
606,52.0,0.72,133,,Slow,17
